name,ring,quadrant,isNew,description
Linux,Adopt,Platforms,FALSE,<p>Open source Unix-like operating system kernel widely used for servers and infrastructure - <a href='https://www.linux.org/'>Docs</a></p>
Python,Adopt,Languages & Frameworks,FALSE,<p>Interpreted high-level general-purpose programming language - <a href='https://docs.python.org/3/'>Docs</a></p>
Bash 5,Adopt,Languages & Frameworks,FALSE,<p>Unix shell and command language for interacting with operating systems - <a href='https://www.gnu.org/software/bash/manual/html_node/index.html'>Docs</a></p>
PostgreSQL,Adopt,Platforms,TRUE,<p>Powerful open source object-relational SQL database system - <a href='https://www.postgresql.org/docs/'>Docs</a></p>
Solr 7,Hold,Platforms,FALSE,<p>Mature version of the Apache Solr enterprise search platform - <a href='https://solr.apache.org/guide/7_7/'>Docs</a></p>
Solr 9,Trial,Platforms,TRUE,<p>Latest version of the Apache Solr search engine platform - <a href='https://solr.apache.org/guide/9_0/'>Docs</a></p>
Redis,Adopt,Platforms,FALSE,<p>In-memory data structure store used as a database and cache - <a href='https://redis.io/documentation'>Docs</a></p>
ElasticSearch,Adopt,Platforms,TRUE,<p>Distributed RESTful search and analytics engine - <a href='https://www.elastic.co/guide/en/elasticsearch/reference/current/index.html'>Docs</a></p>
MongoDB,Adopt,Platforms,FALSE,<p>Leading document-oriented NoSQL database known for flexibility and scalability - <a href='https://docs.mongodb.com/'>Docs</a></p>
Kafka,Adopt,Platforms,FALSE,<p>Distributed streaming platform for building real-time data pipelines - <a href='https://kafka.apache.org/documentation/'>Docs</a></p>
Prometheus,Hold,Platforms,FALSE,<p>Cloud native monitoring system and time series database - <a href='https://prometheus.io/docs/introduction/overview/'>Docs</a></p>
MySQL,Hold,Platforms,FALSE,<p>Legacy open source relational database management system - <a href='https://dev.mysql.com/doc/'>Docs</a></p>
VictoriaMetrics,Adopt,Platforms,FALSE,<p>High-performance monitoring database optimized for time series data - <a href='https://victoriametrics.github.io/'>Docs</a></p>
Clickhouse,Adopt,Platforms,FALSE,<p>Column-oriented analytical database management system - <a href='https://clickhouse.com/docs/en/'>Docs</a></p>
Kubernetes,Adopt,Platforms,FALSE,<p>Open source container orchestration system for automating app deployment and operations - <a href='https://kubernetes.io/docs/home/'>Docs</a></p>
Jenkins,Hold,Tools,FALSE,<p>Established open source automation server for CI/CD pipelines - <a href='https://www.jenkins.io/doc/'>Docs</a></p>
nginx,Adopt,Tools,FALSE,<p>High performance web server and reverse proxy - <a href='https://nginx.org/en/docs/'>Docs</a></p>
NGINX Plus,Hold,Tools,FALSE,<p>Commercial web server load balancer and API gateway based on NGINX - <a href='https://docs.nginx.com/nginx/'>Docs</a></p>
Angie,Trial,Tools,TRUE,"<p>Angie is a powerful and scalable web server, evolving the ideas of nginx - <a href='https://en.angie.software/angie/>Docs</a></p>"
Alertmanager,Adopt,Tools,FALSE,<p>Prometheus alerting and notification routing component - <a href='https://prometheus.io/docs/alerting/latest/alertmanager/'>Docs</a></p>
Docker,Adopt,Tools,FALSE,<p>Leading software container platform for building and distributing applications - <a href='https://docs.docker.com/'>Docs</a></p>
ESXi,Hold,Tools,FALSE,<p>Bare-metal hypervisor for virtualized server infrastructure from VMware - <a href='https://docs.vmware.com/en/VMware-vSphere/7.0/com.vmware.esxi.install.doc/GUID-F02D0C2D-B226-4908-9E5C-2E783D41FE2D.html'>Docs</a></p>
Vcenter,Hold,Tools,FALSE,<p>VMware vSphere management platform for virtual infrastructure - <a href='https://docs.vmware.com/en/VMware-vSphere/7.0/com.vmware.vsphere.monitoring.doc/GUID-9B24B2B0-A5FF-451C-ACD8-4DCCDCC9A8F6.html'>Docs</a></p>
HAProxy,Hold,Tools,FALSE,<p>Free and open source load balancer and reverse proxy for TCP and HTTP applications - <a href='https://www.haproxy.org/#docs'>Docs</a></p>
Grafana,Adopt,Tools,FALSE,<p>Visualization and analytics software for monitoring and observability - <a href='https://grafana.com/docs/'>Docs</a></p>
Kibana,Adopt,Tools,FALSE,<p>Data exploration and visualization interface for Elasticsearch - <a href='https://www.elastic.co/guide/en/kibana/current/index.html'>Docs</a></p>
GitLab,Adopt,Platforms,FALSE,<p>Web-based DevOps platform providing CI/CD pipelines monitoring and more - <a href='https://docs.gitlab.com/'>Docs</a></p>
Nexus,Adopt,Tools,TRUE,<p>Repository manager for binary components containers artifacts - <a href='https://help.sonatype.com/repomanager3'>Docs</a></p>
Atlassian Confluence,Hold,Platforms,FALSE,<p>Team collaboration and wiki software - <a href='https://confluence.atlassian.com/doc/confluence-documentation-home-3296.html'>Docs</a></p>
Atlassian Jira,Hold,Platforms,FALSE,<p>Proprietary agile project management and issue tracking tool - <a href='https://confluence.atlassian.com/jiracoreserver'>Docs</a></p>
Ceph,Adopt,Tools,FALSE,<p>Open source distributed object store and file system - <a href='https://docs.ceph.com/'>Docs</a></p>
Sentry,Hold,Tools,FALSE,<p>Error monitoring platform to track crashes and exceptions in real time - <a href='https://docs.sentry.io/'>Docs</a></p>
SonarQube,Adopt,Tools,TRUE,<p>Code quality and security management platform - <a href='https://docs.sonarqube.org/latest/'>Docs</a></p>
Helm 3,Adopt,Tools,FALSE,<p>Kubernetes package manager for defining installing and upgrading apps - <a href='https://helm.sh/docs/'>Docs</a></p>
OpenTracing,Hold,Tools,FALSE,<p>Vendor-neutral APIs and instrumentation for distributed tracing - <a href='https://opentracing.io/docs/'>Docs</a></p>
NewRelic,Hold,Tools,TRUE,<p>Legacy application performance monitoring tool - <a href='https://docs.newrelic.com/'>Docs</a></p>
Mattermost,Adopt,Tools,FALSE,<p>Open source Slack alternative for team chat - <a href='https://docs.mattermost.com/'>Docs</a></p>
ArgoCD,Adopt,Languages & Frameworks,TRUE,<p>Declarative continuous delivery tool for Kubernetes - <a href='https://argo-cd.readthedocs.io/en/stable/'>Docs</a></p>
Ceph Object Gateway S3,Adopt,Tools,TRUE,<p>S3-compatible object storage built on Ceph - <a href='https://docs.ceph.com/en/latest/radosgw/'>Docs</a></p>
Hadoop,Adopt,Tools,TRUE,<p>Legacy big data distributed storage and processing framework - <a href='https://hadoop.apache.org/docs/r3.3.1/hadoop-project-dist/hadoop-common/ClusterSetup.html'>Docs</a></p>
Frr,Adopt,Tools,FALSE,<p>Routing software suite providing implementations of routing protocols - <a href='https://frrouting.org/>Docs</a></p>
Terraform,Adopt,Tools,TRUE,<p>Infrastructure as code tool for building changing and versioning infrastructure - <a href='https://developer.hashicorp.com/terraform/docs'>Docs</a></p>
Kubeseal,Adopt,Tools,TRUE,<p>Kubernetes tool for encrypting secrets at rest - <a href='https://github.com/bitnami-labs/sealed-secrets'>Docs</a></p>
Packer,Adopt,Tools,TRUE,<p>HashiCorp tool for creating machine images across platforms - <a href='https://www.packer.io/docs'>Docs</a></p>
Kubespray,Adopt,Tools,TRUE,<p>Ansible-based toolkit for deploying Kubernetes clusters - <a href='https://kubespray.io/'>Docs</a></p>
DEX,Adopt,Tools,TRUE,<p>OpenID Connect identity and user management for Kubernetes - <a href='https://dexidp.io/docs/'>Docs</a></p>
Velero,Trial,Tools,TRUE,<p>Utility for managing Kubernetes backup and migration - <a href='https://velero.io/docs/'>Docs</a></p>
LightHouse,Trial,Tools,TRUE,<p>Open source automated auditing performance metrics and best practices for the web - <a href='https://github.com/GoogleChrome/lighthouse'>Docs</a></p>
Structurizr,Hold,Tools,TRUE,<p>Visualization and documentation tool for software architecture - <a href='https://structurizr.com/help/documentation'>Docs</a></p>
Unleash,Adopt,Tools,TRUE,<p>Open source feature flag and toggle system - <a href='https://docs.getunleash.io'>Docs</a></p>
Jasper Reports,Trial,Tools,FALSE,<p>Open source reporting and BI tool for Java apps - <a href='https://community.jaspersoft.com/documentation'>Docs</a></p>
Trivy,Trial,Tools,TRUE,<p>Trivy is a comprehensive and versatile security scanner. - <a href='https://github.com/aquasecurity/trivy'>Docs<a/><p>
Ansible,Adopt,Tools,FALSE,"<p>Ansible is an open source IT automation engine that automates provisioning, configuration management, application deployment, orchestration, and many other IT processes. - <a href='https://docs.ansible.com/'>Docs<a/><p>"
Hashicorp Vault,Trial,Tools,TRUE,"<p>Vault provides secrets management, identity-based access, encrypting application data and auditing of secrets for applications, systems, and users. https://developer.hashicorp.com/vault/docs/what-is-vault"
OpenTelemetry,Trial,Languages & Frameworks,TRUE,"<p>OpenTelemetry is a collection of APIs, SDKs, and tools. Use it to instrument, generate, collect, and export telemetry data (metrics, logs, and traces) to help you analyze your softwareâ€™s performance and behavior.  - <a href='https://opentelemetry.io/""'>Docs</a></p>"
Micrometer,Trial,Languages & Frameworks,TRUE,<p>Micrometer provides a facade for the most popular observability systems. - <a href='https://micrometer.io/>Docs<a/><p>
keephq,Assess,Tools,TRUE,<p>The open-source AIOps (AI for IT operations) platform. - <a href='https://docs.keephq.dev/overview/introduction'>Docs<a/><p>
sloth,Hold,Tools,FALSE,<p>Prometheus SLO generator.. - <a href='https://sloth.dev/specs/default/'>Docs<a/><p>
slith,Trial,Tools,TRUE,<p>VictoriaMetrics rules generator.<p>
sre-bot,Adopt,Tools,FALSE,<p>Incident management tool. <p>
sre-metrics-exporter,Adopt,Tools,FALSE,<p>General purpes metrics exporter. <p>
nginxlog-metrcs-exporter,Adopt,Tools,FALSE,<p>Custom metrics exporter for balancer accesslogs. - <a href='https://github.com/martin-helmich/prometheus-nginxlog-exporter?tab=readme-ov-file#configuration-file'>Docs<a/><p>
gatus,Adopt,Tools,FALSE,<p>Gatus is a web-based service health dashboard that allows you to monitor the status of various web services in real-time. - <a href='https://github.com/TwiN/gatus?tab=readme-ov-file'>Docs<a/><p>
InteliJ IDEA,Adopt,Tools,FALSE,<p>IDE. - <a href='https://www.jetbrains.com/idea/'>Docs<a/><p>
InteliJ Goland,Adopt,Tools,FALSE,<p>IDE. - <a href='https://www.jetbrains.com/go/'>Docs<a/><p>
Visual Studio Code,Adopt,Tools,FALSE,<p>IDE. - <a href='https://code.visualstudio.com/'>Docs<a/><p>
golang,Adopt,Languages & Frameworks,FALSE,<p>General purpose programming language. - <a href='https://go.dev/'>Docs<a/><p>
kotlin,Adopt,Languages & Frameworks,FALSE,<p>General purpose programming language. - <a href='https://kotlinlang.org/'>Docs<a/><p>
metricsQl,Adopt,Languages & Frameworks,FALSE,<p>VictoriaMetrics query language. - <a href='https://docs.victoriametrics.com/metricsql/'>Docs<a/><p>
promQl,Adopt,Languages & Frameworks,FALSE,<p>Prometheus query language. - <a href='https://prometheus.io/docs/prometheus/latest/querying/basics/'>Docs<a/><p>
jsonnet,Adopt,Languages & Frameworks,FALSE,<p>YAML/JSON templating language. - <a href=https://jsonnet.org/'>Docs<a/><p>
apm(ES),Adopt,Platforms,FALSE,<p>Application performance monitoring. - <a href='https://www.elastic.co/observability/application-performance-monitoring'>Docs<a/><p>
rum(ES),Adopt,Platforms,FALSE,<p>Real user monitoring. - <a href='https://www.elastic.co/guide/en/observability/current/apm-rum.html'>Docs<a/><p>